TRECHO,HORA,VEL. MÉDIA (km/h),CLASSIFICAÇÃO,LAT. INICIAL,LNG. INICIAL,LAT. FINAL,LNG. FINAL,DISTÂNCIA (m),IRI (m/km)
1,11:42:41,1.07,REGULAR,-4.506052923479555,-38.35867122470865,-4.505906296973409,-38.35867792643249,20,4.49167286265264
2,12:41:12,8.12,REGULAR,-4.505906296973409,-38.35867792643249,-4.50575245624085,-38.35876576473715,20,5.13804986068502
3,12:41:20,9,REGULAR,-4.50575245624085,-38.35876576473715,-4.505600355530691,-38.35889887894903,22,5.428329951982141
4,12:41:26,10.8,RUIM,-4.505600355530691,-38.35889887894903,-4.505405205466327,-38.35889785928744,21,6.008502567854711
5,12:41:31,10.55,REGULAR,-4.505405205466327,-38.35889785928744,-4.505188036028529,-38.358916885404255,25,5.364524135402536
6,12:41:55,31.66,BOM,-4.505188036028529,-38.358916885404255,-4.504995622002208,-38.35910396352925,29,3.4069587300566466
7,12:41:59,42.5,BOM,-4.504995622002208,-38.35910396352925,-4.5048401651902985,-38.359260405583434,24,3.129270977849006
8,12:42:01,48.5,BOM,-4.5048401651902985,-38.359260405583434,-4.504654054849012,-38.359424375445926,27,2.902386389842156
9,12:42:03,54,BOM,-4.504654054849012,-38.359424375445926,-4.50443465361123,-38.35958808368223,30,2.769596900404361
10,12:42:05,59.5,BOM,-4.50443465361123,-38.35958808368223,-4.504174839052257,-38.35974206887103,33,2.391129670466013
11,12:42:07,65,BOM,-4.504174839052257,-38.35974206887103,-4.503878913869102,-38.359884462232735,36,3.041960473373698
12,12:42:08,68,BOM,-4.503878913869102,-38.359884462232735,-4.503557780386146,-38.359996905785195,37,2.4681614540129297
13,12:42:11,65.5,BOM,-4.503557780386146,-38.359996905785195,-4.503237576919821,-38.36007432771572,36,2.8117976222065844
14,12:42:13,65.5,BOM,-4.503237576919821,-38.36007432771572,-4.502910880751334,-38.360127680613004,36,2.5397688002542367
15,12:42:15,66.5,BOM,-4.502910880751334,-38.360127680613004,-4.50257687929165,-38.360176564541014,37,2.7590922115422307
16,12:42:17,65,BOM,-4.50257687929165,-38.360176564541014,-4.502250355722989,-38.36022254109674,36,2.912803234891541
17,12:42:18,67,BOM,-4.502250355722989,-38.36022254109674,-4.501916666891913,-38.3602677134953,37,2.707526573436854
18,12:42:21,69.5,BOM,-4.501916666891913,-38.3602677134953,-4.501569028074825,-38.360315438003376,38,3.081365364668167
19,12:42:23,74,BOM,-4.501389215643733,-38.36034013457558,-4.5012050427148225,-38.360366288052404,20,2.655282824722436
20,12:42:25,77,BOM,-4.501016940434806,-38.360392587430546,-4.500824248965947,-38.3604194070862,21,2.688179220723409
21,12:42:26,79,BOM,-4.500824248965947,-38.3604194070862,-4.500628284007735,-38.360445650006156,21,2.9690564666807955
22,12:42:28,81,BOM,-4.500628284007735,-38.360445650006156,-4.500415662515554,-38.36047418444065,23,2.3043014373769566
23,12:42:29,82,EXCELENTE,-4.500415662515554,-38.36047418444065,-4.5002061958565145,-38.36049882758608,23,1.828882926078128
24,12:42:30,84,EXCELENTE,-4.5002061958565145,-38.36049882758608,-4.499993235288592,-38.360525816467515,23,1.410120793426498
25,12:42:31,86,EXCELENTE,-4.499993235288592,-38.360525816467515,-4.49978172511583,-38.36056195123251,23,1.2172245887385873
26,12:42:32,87,EXCELENTE,-4.49978172511583,-38.36056195123251,-4.499565718679416,-38.360590960499444,24,1.3894780870449561
27,12:42:33,88,EXCELENTE,-4.499565718679416,-38.360590960499444,-4.499343030378665,-38.360620631420616,24,1.2788592451268146
28,12:42:34,88,EXCELENTE,-4.499343030378665,-38.360620631420616,-4.499122858697853,-38.36065022808448,24,1.980159399737861
29,12:42:35,88,EXCELENTE,-4.499122858697853,-38.36065022808448,-4.498908314240636,-38.36068307969436,24,1.9720200335849016
30,12:42:36,87,BOM,-4.498908314240636,-38.36068307969436,-4.49869168260481,-38.36070910356487,24,2.0612925615563675
31,12:42:37,86,EXCELENTE,-4.498474383033465,-38.36073959968998,-4.498258172664676,-38.360769075543736,24,1.7147475318647605
32,12:42:39,88,BOM,-4.498258172664676,-38.360769075543736,-4.498039792836895,-38.36079813827107,24,2.0689380982790713
33,12:42:40,88,EXCELENTE,-4.498039792836895,-38.36079813827107,-4.4978197621669125,-38.36082777609439,24,1.889840118118764
34,12:42:41,88,BOM,-4.4978197621669125,-38.36082777609439,-4.497599056910568,-38.360856999684835,24,2.074316922898363
35,12:42:42,89,EXCELENTE,-4.497599056910568,-38.360856999684835,-4.497376112161226,-38.3608878683354,24,1.4793264399785628
36,12:42:43,90,EXCELENTE,-4.497376112161226,-38.3608878683354,-4.497150541035774,-38.36091933172999,25,1.1804544886674344
37,12:42:44,92,EXCELENTE,-4.496922165947119,-38.36094900017761,-4.496692788863541,-38.36098042095027,25,1.3153038092159075
38,12:42:46,93,EXCELENTE,-4.496692788863541,-38.36098042095027,-4.496461349195634,-38.36101262961882,25,1.319598344654993
39,12:42:47,90,EXCELENTE,-4.496461349195634,-38.36101262961882,-4.496236227125056,-38.3610447711036,25,1.5523095896701764
40,12:42:48,82,EXCELENTE,-4.496236227125056,-38.3610447711036,-4.496029945020421,-38.36107190375143,23,1.91820060003431
41,12:42:49,77,BOM,-4.496029945020421,-38.36107190375143,-4.495837842703861,-38.361098596559586,21,2.016216440400093
42,12:42:50,72,BOM,-4.495654047553765,-38.361125037411114,-4.495474047920365,-38.36115115719755,20,2.5457070624643094
43,12:42:52,71,BOM,-4.495474047920365,-38.36115115719755,-4.495118222028042,-38.36120280342935,39,2.620161367511489
44,12:42:54,75,EXCELENTE,-4.494934849911307,-38.36122734937799,-4.494747750784231,-38.36125313689817,20,1.8971710064243876
45,12:42:56,76,BOM,-4.494747750784231,-38.36125313689817,-4.494557062851027,-38.36128007425371,21,2.1461612846486275
46,12:42:57,78,EXCELENTE,-4.494557062851027,-38.36128007425371,-4.494363798732808,-38.36130799731738,21,1.8729338997122476
47,12:42:58,79,EXCELENTE,-4.49416808700716,-38.36133613560498,-4.493972057024077,-38.361363877894306,21,1.7926027997751368
48,12:42:59,78,BOM,-4.493972057024077,-38.361363877894306,-4.493778039401845,-38.36139274309139,21,2.110118415762421
49,12:43:01,79,EXCELENTE,-4.493778039401845,-38.36139274309139,-4.493581143538891,-38.36141791835526,21,1.5507335275684666
50,12:43:02,80,EXCELENTE,-4.493581143538891,-38.36141791835526,-4.493382022483144,-38.36144702526906,22,1.9428151312765412
51,12:43:03,81,EXCELENTE,-4.493382022483144,-38.36144702526906,-4.4931796951947,-38.36147639088303,22,1.2045769621722042
52,12:43:04,82,BOM,-4.4931796951947,-38.36147639088303,-4.492975709535151,-38.36150570083239,22,2.629805642954121
53,12:43:05,82,EXCELENTE,-4.492975709535151,-38.36150570083239,-4.492770430814458,-38.361535274452976,22,1.7877556903048426
54,12:43:06,82,EXCELENTE,-4.492770430814458,-38.361535274452976,-4.492566685190009,-38.361563507995584,22,1.7947635888893618
55,12:43:07,80,BOM,-4.492566685190009,-38.361563507995584,-4.492366933403999,-38.36158825050112,22,2.1639767298853707
56,12:43:08,78,EXCELENTE,-4.492366933403999,-38.36158825050112,-4.492170734062185,-38.36160746600819,21,1.5917290132075623
57,12:43:09,75,EXCELENTE,-4.491977733900982,-38.36161729104632,-4.491788277310778,-38.36161311434176,20,1.7263397758317491
58,12:43:11,75,BOM,-4.491788277310778,-38.36161311434176,-4.491600599012955,-38.36159522742393,20,2.165373335995285
59,12:43:12,76,EXCELENTE,-4.491600599012955,-38.36159522742393,-4.491413069206671,-38.361565328015715,21,1.574453108758973
60,12:43:13,76,BOM,-4.491413069206671,-38.361565328015715,-4.491225236661971,-38.36152584473671,21,2.4315334424119515
61,12:43:14,77,EXCELENTE,-4.491225236661971,-38.36152584473671,-4.491036861568487,-38.36147991986919,21,1.962115422456205
62,12:43:15,80,EXCELENTE,-4.49084546948687,-38.361433564708115,-4.490649715949304,-38.361383566524204,22,1.6219601278316778
63,12:43:16,82,BOM,-4.490649715949304,-38.361383566524204,-4.490450491966964,-38.36133473110094,22,2.329102064427371
64,12:43:18,80,BOM,-4.490250536810717,-38.3612868549478,-4.490054837633165,-38.36123969927697,22,2.1237882351143567
65,12:43:20,79,BOM,-4.490054837633165,-38.36123969927697,-4.489860832470193,-38.36119043645291,22,2.2878198289897407
66,12:43:21,80,BOM,-4.489666884737685,-38.36114200905916,-4.489472143276878,-38.361094484142534,22,2.0690121695717183
67,12:43:22,80,EXCELENTE,-4.489472143276878,-38.361094484142534,-4.489276378070196,-38.361045192257265,22,1.9418649691320546
68,12:43:23,81,BOM,-4.489276378070196,-38.361045192257265,-4.489079877891396,-38.360995632559614,22,2.2226855780076944
